128,1510895,756435,387184,199336,109431,134342,41733,7054,7302,4528
256,2799114,1692522,886493,418104,200094,122681,67549,46895,4861,4871
384,4195753,2024029,1226551,678263,272851,182144,100282,60534,55473,7617
512,2896466,1132180,670974,296631,159755,91791,57163,45565,48697,8084
640,3206745,1328045,737973,357209,187026,98771,63355,36207,28016,28658
768,3067489,1566945,787818,421740,215130,126309,71834,49623,41458,31250
896,3504575,1846563,938730,481691,265920,147101,126232,71278,57421,36551
1024,4842297,2051321,1069685,557249,305759,159882,94343,61460,65387,40167
1152,4648099,2778909,1165989,607061,313569,179832,108757,71029,50180,41397
1280,5106468,2735524,1304583,679560,355334,190658,110603,90760,50727,44618
1408,5776315,2982942,1349917,955402,431046,320078,142220,97173,55970,51742
1536,6094706,3247139,1665345,921436,449107,227094,166460,101755,57995,68080
1664,6584625,3383289,1736567,851697,462831,342049,144097,110587,65714,49717
1792,7047948,3799410,1742030,1142241,752160,327389,148503,98210,85429,59733
1920,7467267,4128591,3660382,953981,536723,301211,184368,102621,76549,71626
2048,9038317,4195108,2252108,1551431,684030,362016,291713,155326,118307,86272
2176,9385670,4477012,2308653,1183865,611613,336806,188585,129593,84076,78538
2304,8921105,5574340,3159799,1214660,620273,416415,217393,117690,89917,74018
2432,10294259,5157590,2543610,1316848,684333,356561,216507,138733,89709,82106
2560,10320289,5479198,3344086,1354936,694827,454263,209465,149947,101813,83927
2688,12138634,5590172,2824421,1388636,962965,546808,252777,145280,96705,72947
2816,11316098,6347815,2873712,1423149,793888,423780,251563,168414,102783,72977
2944,11512198,6624033,3722875,1710625,819897,483086,269151,162462,113879,113610
3072,12041790,6301917,3724772,1642976,984121,487799,246320,190866,110113,82224
3200,12715006,6409223,3112349,1789098,857925,637041,262624,159649,137057,113788
3328,13250710,6761449,3577333,1625312,912126,653750,275150,328043,112651,92289
3456,14908714,7995213,3607505,1893182,993671,534942,346179,184615,152258,100242
3584,15111747,7629150,4331447,1930895,1028986,507400,295328,219155,136727,90608
3712,14671502,7437799,3750158,1935089,1009198,535908,308561,186201,134582,109085
3840,15594895,7831227,3848256,2125663,1141422,733527,300563,278636,138347,120725
3968,16653784,8352518,4753458,2640842,1049420,591165,328911,214198,140560,131058
4096,16821763,8418904,4497271,2361366,1205123,613800,354218,233446,151139,119297
4224,17277616,9502057,4444194,2236058,1141149,629029,368667,207534,260799,116467
4352,17972431,8822193,5028816,2373075,1145537,612767,356735,376264,147848,115751
4480,19833143,9984921,4573537,2422533,1339466,696095,453183,245417,179818,135018
4608,18647935,9528145,5899808,2362988,1314714,683614,387918,253641,182005,128429
4736,20181888,9806495,5462713,2988071,1522806,737409,387883,253908,171213,158877
4864,20450489,9827757,4956065,2507728,1479412,848024,482442,241675,496644,151058
4992,20571172,21772659,5687515,3276872,1362283,735180,423732,255884,195658,153181
5120,21213982,11619647,5208858,3107676,1516070,756925,422988,266094,188918,145775
5248,21243443,11365573,5314812,2728936,1579620,755757,440942,284667,193281,154166
5376,21969754,11693093,5371719,3019621,1605846,968251,567978,533527,193436,151784
5504,22207958,12018434,5656051,3258905,1690246,941709,570482,296950,194288,154413
5632,22964833,11540697,5835017,3284826,1967857,842364,462591,281620,202119,162820
5760,23368466,11873542,6130120,3617701,1542785,867040,488704,318038,221692,168764
5888,24992947,12522154,6011433,3031824,1603359,855801,474797,319847,219966,188793
6016,25119074,12160064,6314479,3129964,1682144,981277,631604,296429,204266,167679
6144,25464957,13921576,6481189,3635730,1613106,857165,492313,313544,223833,193648
6272,25108046,12794844,7761750,3394350,1725806,898107,575311,325927,241583,200181
6400,27841460,12935393,6424331,3751972,3859725,889961,539314,367356,359484,187399
6528,29224458,14168202,6758281,3704109,1801182,1001127,536819,345952,228729,182509
6656,26924383,13559684,7696921,3497487,1792265,984586,557395,391998,232447,244109
6784,28329530,15745982,7050316,4028295,1798886,967507,611766,342164,255690,193860
6912,28650515,14768648,7055438,3688015,1849245,1161698,707884,339465,238727,182337
7040,28377843,15295467,7601759,3755910,2218860,1203740,552153,557117,329843,232914
7168,30353431,15313753,7993486,4237413,3769953,2407842,1394233,837929,623093,376098
7296,38417800,15198084,8052950,3844009,1925939,1026625,657282,356437,248148,189666
7424,29176438,15782370,8045230,4087763,2092347,1083231,581782,357873,239230,194019
7552,31274217,16064690,8221445,3903340,2165210,1098683,611354,361780,375880,277258
7680,32429204,16342756,8164649,4164199,2820010,1353253,732989,452184,307137,235678
7808,31920463,16531634,8411873,4223974,2616300,1153714,639585,401230,276649,194515
7936,32205037,16763485,8335491,4311852,3004664,1098688,602846,373878,252856,323384
8064,32759281,16830661,8508443,4603299,2216237,1144934,638807,383526,273171,212065
8192,33267444,17616341,9849938,4153737,2329429,1211717,667796,413894,323391,212817
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
