128,2475,2189,2282,2313,2364,2461
256,4176,4014,4050,3876,3923,3902
384,5634,5737,5711,5744,5538,5514
512,7326,7709,7705,9508,7652,11602
640,55412,9817,30485,9287,9506,9213
768,67207,25264,11606,12535,25260,12507
896,70703,13148,15834,62487,13055,13200
1024,33387,17744,17217,14953,14946,14971
1152,41449,35978,16663,17060,16802,16591
1280,41310,34019,18390,18408,18564,18460
1408,40761,35702,20112,20852,20171,20119
1536,60376,38695,21976,23328,21959,21930
1664,47477,38022,24254,23831,23948,23845
1792,50101,41121,25820,25671,25527,26180
1920,52748,43251,27431,27961,27504,27524
2048,52723,43756,30255,30584,29237,29165
2176,60930,50605,50030,37040,31190,45088
2304,64864,53978,47336,32901,33413,32899
2432,62344,54632,57879,34671,33610,42295
2560,62666,54875,50047,35397,78368,35396
2688,76611,57750,52748,37895,37324,37128
2816,69059,55885,124377,37855,37932,38406
2944,70114,145254,77820,39574,39939,56093
3072,169041,115487,57464,41723,112154,42452
3200,80856,123278,59522,90794,44275,83795
3328,88676,97810,65326,46177,46214,46547
3456,82886,71876,137813,47614,48345,48207
3584,85023,76644,66052,49763,50017,66974
3712,95126,77496,68024,66354,52934,55533
3840,95175,79578,69773,55776,55043,55288
3968,96845,80321,77281,92917,57221,73934
4096,102416,88708,75661,62935,59031,58580
4224,106098,87874,79594,85006,60470,60598
4352,108638,91058,97683,90706,62177,62640
4480,114730,92407,83168,85032,67640,180049
4608,184791,106360,146772,93067,65981,65793
4736,125309,94620,85955,89888,67354,67848
4864,127483,96188,88245,90037,69398,70101
4992,156822,272608,164233,97066,138741,68924
5120,129707,221629,152693,132855,87151,77490
5248,195158,120619,117163,143580,72963,157924
5376,143671,120724,99209,100241,76643,77057
5504,148542,125576,110303,153069,78219,78679
5632,150085,129670,104097,107141,80355,84043
5760,155101,126848,106421,109742,106231,82240
5888,152296,126001,103428,110744,81989,120410
6016,153870,128652,108646,171774,83368,152638
6144,157732,133325,115849,131758,119813,85436
6272,193178,217328,126454,112040,87275,86596
6400,157740,140035,125547,114388,90819,91733
6528,164329,138678,126149,130555,93128,93182
6656,167848,152442,134712,125211,145794,95912
6784,173016,147813,130720,134604,98141,96802
6912,251582,208733,140114,127333,98731,98787
7040,183774,153450,147088,134221,100512,101014
7168,180738,154973,140924,129275,103900,101696
7296,189389,218322,264682,176188,152762,101080
7424,186693,157993,191043,129372,104658,144376
7552,188771,159914,165570,154981,183419,104502
7680,191446,161446,144581,138922,106007,114412
7808,213232,170498,172025,139649,111464,111056
7936,195800,162655,146803,140760,113611,113628
8064,204369,173037,162931,153938,114732,127834
8192,210778,174616,162271,144888,116931,195815
8320,216867,183654,163208,178050,166165,127109
8448,247263,216278,183828,224324,184797,121250
8576,223936,221541,160324,168564,144910,132782
